hb_id,time
1 ,7:00:00 PM
2 ,7:03:00 PM
3 ,7:04:00 PM
4 ,7:06:00 PM
5 ,7:08:00 PM
6 ,7:12:00 PM
7 ,7:17:00 PM
8 ,7:17:00 PM
9 ,7:18:00 PM
10 ,7:18:00 PM
11 ,7:19:00 PM
12 ,7:23:00 PM
13 ,7:27:00 PM
14 ,7:32:00 PM
15 ,7:33:00 PM
16 ,7:33:00 PM
17 ,7:33:00 PM
18 ,7:36:00 PM
19 ,7:38:00 PM
20 ,7:39:00 PM
21 ,7:40:00 PM
22 ,7:40:00 PM
23 ,7:44:00 PM
24 ,7:46:00 PM
25 ,7:47:00 PM
26 ,7:47:00 PM
27 ,7:50:00 PM
28 ,7:51:00 PM
29 ,7:52:00 PM
30 ,7:52:00 PM
31 ,7:52:00 PM
32 ,7:52:00 PM
33 ,7:52:00 PM
34 ,7:52:00 PM
35 ,7:53:00 PM
36 ,7:53:00 PM
37 ,7:54:00 PM
38 ,7:54:00 PM
39 ,7:55:00 PM
40 ,7:56:00 PM
41 ,7:57:00 PM
42 ,7:57:00 PM
43 ,7:57:00 PM
44 ,7:58:00 PM
45 ,7:59:00 PM
46 ,8:01:00 PM
47 ,8:01:00 PM
48 ,8:04:00 PM
49 ,8:08:00 PM
50 ,8:15:00 PM
51 ,8:17:00 PM
52 ,8:24:00 PM
53 ,8:25:00 PM
54 ,8:41:00 PM
55 ,8:41:00 PM
56 ,8:43:00 PM
57 ,8:58:00 PM
58 ,9:01:00 PM
59 ,11:13:00 PM
60 ,12:41:00 AM
61 ,12:44:00 AM
62 ,12:54:00 AM
63 ,12:44:00 AM
64 ,1:47:00 AM
65 ,1:49:00 AM
66 ,1:51:00 AM