区域,指标名称,年份,指标值
北京市,单位GDP用水总量_立方米每万元,1995,267
北京市,单位GDP用水总量_立方米每万元,1996,246.3
北京市,单位GDP用水总量_立方米每万元,1997,222.5
北京市,单位GDP用水总量_立方米每万元,1998,204.3
北京市,单位GDP用水总量_立方米每万元,1999,189.8
北京市,单位GDP用水总量_立方米每万元,2000,165.6
北京市,单位GDP用水总量_立方米每万元,2001,142.9
北京市,单位GDP用水总量_立方米每万元,2002,114
北京市,单位GDP用水总量_立方米每万元,2003,103.8
北京市,单位GDP用水总量_立方米每万元,2004,89.9
北京市,单位GDP用水总量_立方米每万元,2005,80
北京市,单位GDP用水总量_立方米每万元,2006,70.4
北京市,单位GDP用水总量_立方米每万元,2007,62.4
北京市,单位GDP用水总量_立方米每万元,2008,57.6
北京市,单位GDP用水总量_立方米每万元,2009,52.9
北京市,单位GDP用水总量_立方米每万元,2010,47.6
北京市,单位GDP用水总量_立方米每万元,2011,45
北京市,单位GDP能源消耗总量_公斤每万元,1995,2333.4
北京市,单位GDP能源消耗总量_公斤每万元,1996,2228.9
北京市,单位GDP能源消耗总量_公斤每万元,1997,2118.4
北京市,单位GDP能源消耗总量_公斤每万元,1998,1975
北京市,单位GDP能源消耗总量_公斤每万元,1999,1814.1
北京市,单位GDP能源消耗总量_公斤每万元,2000,1699.1
北京市,单位GDP能源消耗总量_公斤每万元,2001,1583.2
北京市,单位GDP能源消耗总量_公斤每万元,2002,1460.4
北京市,单位GDP能源消耗总量_公斤每万元,2003,1378.5
北京市,单位GDP能源消耗总量_公斤每万元,2004,1336
北京市,单位GDP能源消耗总量_公斤每万元,2005,1280.4
北京市,单位GDP能源消耗总量_公斤每万元,2006,1211.5
北京市,单位GDP能源消耗总量_公斤每万元,2007,1126.4
北京市,单位GDP能源消耗总量_公斤每万元,2008,1039.3
北京市,单位GDP能源消耗总量_公斤每万元,2009,979.4
北京市,单位GDP能源消耗总量_公斤每万元,2010,939.8
北京市,单位GDP能源消耗总量_公斤每万元,2011,874.5
北京市,单位产值建设用地消耗_亩每亿元,1995,2545.9
北京市,单位产值建设用地消耗_亩每亿元,1996,2379.1
北京市,单位产值建设用地消耗_亩每亿元,1997,2200.3
北京市,单位产值建设用地消耗_亩每亿元,1998,2045.4
北京市,单位产值建设用地消耗_亩每亿元,1999,1876.8
北京市,单位产值建设用地消耗_亩每亿元,2000,1720
北京市,单位产值建设用地消耗_亩每亿元,2001,1610.1
北京市,单位产值建设用地消耗_亩每亿元,2002,1493.6
北京市,单位产值建设用地消耗_亩每亿元,2003,1372.5
北京市,单位产值建设用地消耗_亩每亿元,2004,1246.6
北京市,单位产值建设用地消耗_亩每亿元,2005,1123.5
北京市,单位产值建设用地消耗_亩每亿元,2006,1007.3
北京市,单位产值建设用地消耗_亩每亿元,2007,894.1
北京市,单位产值建设用地消耗_亩每亿元,2008,832.1
北京市,单位产值建设用地消耗_亩每亿元,2009,777.5
北京市,单位产值建设用地消耗_亩每亿元,2010,724.8
北京市,单位产值建设用地消耗_亩每亿元,2011,688.8
北京市,单位GDP固定资产投资_元每万元,1995,5581.4
北京市,单位GDP固定资产投资_元每万元,1996,4899.4
北京市,单位GDP固定资产投资_元每万元,1997,4630.9
北京市,单位GDP固定资产投资_元每万元,1998,4863.7
北京市,单位GDP固定资产投资_元每万元,1999,4371.8
北京市,单位GDP固定资产投资_元每万元,2000,4104.4
北京市,单位GDP固定资产投资_元每万元,2001,4124.8
北京市,单位GDP固定资产投资_元每万元,2002,4189.7
北京市,单位GDP固定资产投资_元每万元,2003,4293.8
北京市,单位GDP固定资产投资_元每万元,2004,4171.9
北京市,单位GDP固定资产投资_元每万元,2005,4105.5
北京市,单位GDP固定资产投资_元每万元,2006,4060.7
北京市,单位GDP固定资产投资_元每万元,2007,3968
北京市,单位GDP固定资产投资_元每万元,2008,3432.1
北京市,单位GDP固定资产投资_元每万元,2009,3799
北京市,单位GDP固定资产投资_元每万元,2010,3828.2
北京市,单位GDP固定资产投资_元每万元,2011,3432.8
安徽省,单位GDP固定资产投资_元每万元,1995,2941
安徽省,单位GDP固定资产投资_元每万元,1996,2934.6
安徽省,单位GDP固定资产投资_元每万元,1997,2927.9
安徽省,单位GDP固定资产投资_元每万元,1998,2866.8
安徽省,单位GDP固定资产投资_元每万元,1999,2853.3
安徽省,单位GDP固定资产投资_元每万元,2000,2986.4
安徽省,单位GDP固定资产投资_元每万元,2001,2969.5
安徽省,单位GDP固定资产投资_元每万元,2002,3219.8
安徽省,单位GDP固定资产投资_元每万元,2003,3766.7
安徽省,单位GDP固定资产投资_元每万元,2004,4022
安徽省,单位GDP固定资产投资_元每万元,2005,4697.8
安徽省,单位GDP固定资产投资_元每万元,2006,5780.9
安徽省,单位GDP固定资产投资_元每万元,2007,6911.5
安徽省,单位GDP固定资产投资_元每万元,2008,7622.3
安徽省,单位GDP固定资产投资_元每万元,2009,8934.6
安徽省,单位GDP固定资产投资_元每万元,2010,9339.5
安徽省,单位GDP固定资产投资_元每万元,2011,8140.6
安徽省,单位GDP用水总量_立方米每万元,1995,1096.4
安徽省,单位GDP用水总量_立方米每万元,1996,869.8
安徽省,单位GDP用水总量_立方米每万元,1997,870.8
安徽省,单位GDP用水总量_立方米每万元,1998,718.8
安徽省,单位GDP用水总量_立方米每万元,1999,720
安徽省,单位GDP用水总量_立方米每万元,2000,605.3
安徽省,单位GDP用水总量_立方米每万元,2001,607.1
安徽省,单位GDP用水总量_立方米每万元,2002,573.5
安徽省,单位GDP用水总量_立方米每万元,2003,468.5
安徽省,单位GDP用水总量_立方米每万元,2004,485.6
安徽省,单位GDP用水总量_立方米每万元,2005,433.9
安徽省,单位GDP用水总量_立方米每万元,2006,448.6
安徽省,单位GDP用水总量_立方米每万元,2007,376.8
安徽省,单位GDP用水总量_立方米每万元,2008,383.8
安徽省,单位GDP用水总量_立方米每万元,2009,372.4
安徽省,单位GDP用水总量_立方米每万元,2010,326.4
安徽省,单位GDP用水总量_立方米每万元,2011,289
安徽省,单位GDP能源消耗总量_公斤每万元,1995,2316.4
安徽省,单位GDP能源消耗总量_公斤每万元,1996,2212.6
安徽省,单位GDP能源消耗总量_公斤每万元,1997,1932.3
安徽省,单位GDP能源消耗总量_公斤每万元,1998,1852.3
安徽省,单位GDP能源消耗总量_公斤每万元,1999,1737.4
安徽省,单位GDP能源消耗总量_公斤每万元,2000,1671.3
安徽省,单位GDP能源消耗总量_公斤每万元,2001,1609.9
安徽省,单位GDP能源消耗总量_公斤每万元,2002,1525.8
安徽省,单位GDP能源消耗总量_公斤每万元,2003,1431.6
安徽省,单位GDP能源消耗总量_公斤每万元,2004,1393.2
安徽省,单位GDP能源消耗总量_公斤每万元,2005,1357.2
安徽省,单位GDP能源消耗总量_公斤每万元,2006,1310.9
安徽省,单位GDP能源消耗总量_公斤每万元,2007,1256.7
安徽省,单位GDP能源消耗总量_公斤每万元,2008,1199.5
安徽省,单位GDP能源消耗总量_公斤每万元,2009,1135.2
安徽省,单位GDP能源消耗总量_公斤每万元,2010,1080.9
安徽省,单位GDP能源消耗总量_公斤每万元,2011,1037
安徽省,单位产值建设用地消耗_亩每亿元,1995,12629.8
安徽省,单位产值建设用地消耗_亩每亿元,1996,11957.9
安徽省,单位产值建设用地消耗_亩每亿元,1997,11381.8
安徽省,单位产值建设用地消耗_亩每亿元,1998,11128.3
安徽省,单位产值建设用地消耗_亩每亿元,1999,10768.1
安徽省,单位产值建设用地消耗_亩每亿元,2000,10470.1
安徽省,单位产值建设用地消耗_亩每亿元,2001,9623
安徽省,单位产值建设用地消耗_亩每亿元,2002,6844.2
安徽省,单位产值建设用地消耗_亩每亿元,2003,6291.3
安徽省,单位产值建设用地消耗_亩每亿元,2004,5603.8
安徽省,单位产值建设用地消耗_亩每亿元,2005,5075.4
安徽省,单位产值建设用地消耗_亩每亿元,2006,4560.2
安徽省,单位产值建设用地消耗_亩每亿元,2007,4024.6
安徽省,单位产值建设用地消耗_亩每亿元,2008,3591.4
安徽省,单位产值建设用地消耗_亩每亿元,2009,3356.8
安徽省,单位产值建设用地消耗_亩每亿元,2010,3106.4
安徽省,单位产值建设用地消耗_亩每亿元,2011,2781.4
福建省,单位GDP固定资产投资_元每万元,1995,3251.6
福建省,单位GDP固定资产投资_元每万元,1996,3180
福建省,单位GDP固定资产投资_元每万元,1997,3129.6
福建省,单位GDP固定资产投资_元每万元,1998,3318.2
福建省,单位GDP固定资产投资_元每万元,1999,3046.1
福建省,单位GDP固定资产投资_元每万元,2000,2875.4
福建省,单位GDP固定资产投资_元每万元,2001,2785.5
福建省,单位GDP固定资产投资_元每万元,2002,2754.9
福建省,单位GDP固定资产投资_元每万元,2003,3025.6
福建省,单位GDP固定资产投资_元每万元,2004,3295.1
福建省,单位GDP固定资产投资_元每万元,2005,3526.8
福建省,单位GDP固定资产投资_元每万元,2006,3931.8
福建省,单位GDP固定资产投资_元每万元,2007,4636.1
福建省,单位GDP固定资产投资_元每万元,2008,4811.7
福建省,单位GDP固定资产投资_元每万元,2009,5092.3
福建省,单位GDP固定资产投资_元每万元,2010,5563.6
福建省,单位GDP固定资产投资_元每万元,2011,5644
福建省,单位GDP用水总量_立方米每万元,1995,739.3
福建省,单位GDP用水总量_立方米每万元,1996,734.2
福建省,单位GDP用水总量_立方米每万元,1997,572.2
福建省,单位GDP用水总量_立方米每万元,1998,581.2
福建省,单位GDP用水总量_立方米每万元,1999,545.8
福建省,单位GDP用水总量_立方米每万元,2000,488.9
福建省,单位GDP用水总量_立方米每万元,2001,449.7
福建省,单位GDP用水总量_立方米每万元,2002,423
福建省,单位GDP用水总量_立方米每万元,2003,379.2
福建省,单位GDP用水总量_立方米每万元,2004,343.1
福建省,单位GDP用水总量_立方米每万元,2005,310.8
福建省,单位GDP用水总量_立方米每万元,2006,271.3
福建省,单位GDP用水总量_立方米每万元,2007,246.8
福建省,单位GDP用水总量_立方米每万元,2008,220.4
福建省,单位GDP用水总量_立方米每万元,2009,199.6
福建省,单位GDP用水总量_立方米每万元,2010,176.1
福建省,单位GDP用水总量_立方米每万元,2011,161.7
福建省,单位GDP能源消耗总量_公斤每万元,1995,1088.4
福建省,单位GDP能源消耗总量_公斤每万元,1996,1033
福建省,单位GDP能源消耗总量_公斤每万元,1997,937
福建省,单位GDP能源消耗总量_公斤每万元,1998,860.1
福建省,单位GDP能源消耗总量_公斤每万元,1999,841.1
福建省,单位GDP能源消耗总量_公斤每万元,2000,959.7
福建省,单位GDP能源消耗总量_公斤每万元,2001,981.4
福建省,单位GDP能源消耗总量_公斤每万元,2002,979.9
福建省,单位GDP能源消耗总量_公斤每万元,2003,997.5
福建省,单位GDP能源消耗总量_公斤每万元,2004,1011.1
福建省,单位GDP能源消耗总量_公斤每万元,2005,1021.2
福建省,单位GDP能源消耗总量_公斤每万元,2006,989
福建省,单位GDP能源消耗总量_公斤每万元,2007,953.9
福建省,单位GDP能源消耗总量_公斤每万元,2008,918.4
福建省,单位GDP能源消耗总量_公斤每万元,2009,883.4
福建省,单位GDP能源消耗总量_公斤每万元,2010,853.3
福建省,单位GDP能源消耗总量_公斤每万元,2011,825.2
福建省,单位产值建设用地消耗_亩每亿元,1995,3469.9
福建省,单位产值建设用地消耗_亩每亿元,1996,3219.4
福建省,单位产值建设用地消耗_亩每亿元,1997,2961.5
福建省,单位产值建设用地消耗_亩每亿元,1998,2797.4
福建省,单位产值建设用地消耗_亩每亿元,1999,2658.3
福建省,单位产值建设用地消耗_亩每亿元,2000,2531.1
福建省,单位产值建设用地消耗_亩每亿元,2001,2351.6
福建省,单位产值建设用地消耗_亩每亿元,2002,1920.3
福建省,单位产值建设用地消耗_亩每亿元,2003,1755.6
福建省,单位产值建设用地消耗_亩每亿元,2004,1603.6
福建省,单位产值建设用地消耗_亩每亿元,2005,1469.1
福建省,单位产值建设用地消耗_亩每亿元,2006,1330.4
福建省,单位产值建设用地消耗_亩每亿元,2007,1190.4
福建省,单位产值建设用地消耗_亩每亿元,2008,1080.4
福建省,单位产值建设用地消耗_亩每亿元,2009,1031.2
福建省,单位产值建设用地消耗_亩每亿元,2010,1046.8
福建省,单位产值建设用地消耗_亩每亿元,2011,985.1